BookingID,CustomerName,Email,CheckInDate,CheckOutDate,RoomType,TotalPrice,BookingStatus
B0001,Customer1,customer1@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0002,Customer2,customer2@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0003,Customer3,customer3@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0004,Customer4,customer4@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0005,Customer5,customer5@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0006,Customer6,customer6@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0007,Customer7,customer7@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0008,Customer8,customer8@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0009,Customer9,customer9@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0010,Customer10,customer10@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0011,Customer11,customer11@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0012,Customer12,customer12@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0013,Customer13,customer13@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0014,Customer14,customer14@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0015,Customer15,customer15@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0016,Customer16,customer16@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0017,Customer17,customer17@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0018,Customer18,customer18@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0019,Customer19,customer19@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0020,Customer20,customer20@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0021,Customer21,customer21@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0022,Customer22,customer22@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0023,Customer23,customer23@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0024,Customer24,customer24@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0025,Customer25,customer25@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0026,Customer26,customer26@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0027,Customer27,customer27@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0028,Customer28,customer28@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0029,Customer29,customer29@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0030,Customer30,customer30@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0031,Customer31,customer31@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0032,Customer32,customer32@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0033,Customer33,customer33@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0034,Customer34,customer34@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0035,Customer35,customer35@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0036,Customer36,customer36@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0037,Customer37,customer37@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0038,Customer38,customer38@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0039,Customer39,customer39@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0040,Customer40,customer40@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0041,Customer41,customer41@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0042,Customer42,customer42@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0043,Customer43,customer43@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0044,Customer44,customer44@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0045,Customer45,customer45@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0046,Customer46,customer46@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0047,Customer47,customer47@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0048,Customer48,customer48@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0049,Customer49,customer49@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0050,Customer50,customer50@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0051,Customer51,customer51@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0052,Customer52,customer52@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0053,Customer53,customer53@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0054,Customer54,customer54@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0055,Customer55,customer55@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0056,Customer56,customer56@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0057,Customer57,customer57@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0058,Customer58,customer58@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0059,Customer59,customer59@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0060,Customer60,customer60@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0061,Customer61,customer61@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0062,Customer62,customer62@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0063,Customer63,customer63@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0064,Customer64,customer64@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0065,Customer65,customer65@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0066,Customer66,customer66@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0067,Customer67,customer67@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0068,Customer68,customer68@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0069,Customer69,customer69@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0070,Customer70,customer70@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0071,Customer71,customer71@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0072,Customer72,customer72@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0073,Customer73,customer73@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0074,Customer74,customer74@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0075,Customer75,customer75@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0076,Customer76,customer76@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0077,Customer77,customer77@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0078,Customer78,customer78@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0079,Customer79,customer79@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0080,Customer80,customer80@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0081,Customer81,customer81@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0082,Customer82,customer82@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0083,Customer83,customer83@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0084,Customer84,customer84@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0085,Customer85,customer85@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0086,Customer86,customer86@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0087,Customer87,customer87@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0088,Customer88,customer88@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0089,Customer89,customer89@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0090,Customer90,customer90@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0091,Customer91,customer91@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0092,Customer92,customer92@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0093,Customer93,customer93@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0094,Customer94,customer94@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0095,Customer95,customer95@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0096,Customer96,customer96@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0097,Customer97,customer97@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0098,Customer98,customer98@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0099,Customer99,customer99@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0100,Customer100,customer100@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0101,Customer101,customer101@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0102,Customer102,customer102@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0103,Customer103,customer103@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0104,Customer104,customer104@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0105,Customer105,customer105@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0106,Customer106,customer106@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0107,Customer107,customer107@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0108,Customer108,customer108@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0109,Customer109,customer109@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0110,Customer110,customer110@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0111,Customer111,customer111@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0112,Customer112,customer112@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0113,Customer113,customer113@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0114,Customer114,customer114@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0115,Customer115,customer115@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0116,Customer116,customer116@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0117,Customer117,customer117@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0118,Customer118,customer118@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0119,Customer119,customer119@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0120,Customer120,customer120@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0121,Customer121,customer121@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0122,Customer122,customer122@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0123,Customer123,customer123@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0124,Customer124,customer124@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0125,Customer125,customer125@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0126,Customer126,customer126@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0127,Customer127,customer127@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0128,Customer128,customer128@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0129,Customer129,customer129@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0130,Customer130,customer130@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0131,Customer131,customer131@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0132,Customer132,customer132@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0133,Customer133,customer133@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0134,Customer134,customer134@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0135,Customer135,customer135@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0136,Customer136,customer136@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0137,Customer137,customer137@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0138,Customer138,customer138@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0139,Customer139,customer139@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0140,Customer140,customer140@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0141,Customer141,customer141@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0142,Customer142,customer142@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0143,Customer143,customer143@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0144,Customer144,customer144@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0145,Customer145,customer145@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0146,Customer146,customer146@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0147,Customer147,customer147@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0148,Customer148,customer148@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0149,Customer149,customer149@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0150,Customer150,customer150@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0151,Customer151,customer151@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0152,Customer152,customer152@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0153,Customer153,customer153@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0154,Customer154,customer154@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0155,Customer155,customer155@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0156,Customer156,customer156@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0157,Customer157,customer157@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0158,Customer158,customer158@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0159,Customer159,customer159@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0160,Customer160,customer160@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0161,Customer161,customer161@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0162,Customer162,customer162@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0163,Customer163,customer163@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0164,Customer164,customer164@example.com,2023-07-15,2023-07-18,Double,150,Pending
